Stock,Date,Open,High,Low,Close,Volume
HILTON,26-Dec-22,62.5,64,60,63.5,88105
HILTON,23-Dec-22,61.5,62.95,59.75,61.5,302243
HILTON,22-Dec-22,63.8,65,59.45,62.7,326568
HILTON,21-Dec-22,66.15,66.5,62.2,62.55,72942
HILTON,20-Dec-22,66.9,66.9,65,65.45,43424
HILTON,19-Dec-22,67.25,67.25,65.05,65.75,32027
HILTON,16-Dec-22,66.15,67.5,65.05,65.9,41935
HILTON,15-Dec-22,68.3,68.55,66.15,66.7,70070
HILTON,14-Dec-22,68.9,68.9,66.3,68.3,83108
HILTON,13-Dec-22,67.9,68.15,66,67.5,47193
HILTON,12-Dec-22,65,68.3,64,66.1,90328
HILTON,09-Dec-22,66,67.55,64,65.25,83072
HILTON,08-Dec-22,68.8,70,66.15,66.8,107064
HILTON,07-Dec-22,67.2,69.4,65.6,68.85,291612
HILTON,06-Dec-22,62.05,66.15,61.65,66.15,376083
HILTON,05-Dec-22,63.1,65,62.55,63,1044673
HILTON,02-Dec-22,66.25,69.25,65.8,65.8,1029762
HILTON,01-Dec-22,69.25,71.5,69.25,69.25,452162
HILTON,30-Nov-22,73.35,74.65,72.85,72.85,419651
HILTON,29-Nov-22,80.9,80.9,76.15,76.65,122746
